START_STATION_KEY,CASUAL_RIDE_COUNT,MEMBER_RIDE_COUNT,CASUAL_MEMBER_RATE
459,10162,12766,79.6
460,8136,10869,74.86
461,1802,7931,22.72
462,2714,3566,76.11
463,5476,8731,62.72
464,5096,6886,74.01
465,11,121,9.09
466,1913,3507,54.55
467,758,1218,62.23
468,4412,7467,59.09
469,2675,4340,61.64
470,318,577,55.11
471,6250,6120,102.12
472,5079,14752,34.43
473,146,110,132.73
474,3788,5668,66.83
475,8543,16111,53.03
476,3825,11159,34.28
477,610,1021,59.75
478,423,468,90.38
479,2603,3176,81.96
480,2318,3734,62.08
481,74,5,1480
482,135,11,1227.27
483,109,22,495.45
484,125,63,198.41
485,2165,2562,84.5
486,10321,18293,56.42
487,56,26,215.38
488,1308,1187,110.19
489,593,523,113.38
490,621,868,71.54
491,14304,9159,156.17
492,169,283,59.72
493,55,67,82.09
494,8,1,800
495,52,34,152.94
496,63,12,525
497,16,4,400
498,11,1,1100
499,16,25,64
500,2,9,22.22
501,6,3,200
502,1599,6051,26.43
503,2644,4051,65.27
504,9096,11054,82.29
505,1656,2270,72.95
506,2374,3213,73.89
507,2265,993,228.1
508,6444,5493,117.31
509,4323,5503,78.56
510,286,442,64.71
511,2577,5918,43.55
512,4675,8844,52.86
513,668,263,253.99
514,7120,11691,60.9
515,1359,1191,114.11
516,3340,1847,180.83
517,10276,13384,76.78
518,92,17,541.18
519,13678,10604,128.99
520,119,31,383.87
521,9116,5749,158.57
522,2067,3929,52.61
523,176,44,400
524,241,149,161.74
525,826,1804,45.79
526,1414,572,247.2
527,46,16,287.5
528,306,315,97.14
529,12017,14197,84.64
530,137,194,70.62
531,66,10,660
532,11985,2005,597.76
533,3514,9803,35.85
534,37,3,1233.33
535,36,26,138.46
536,30,12,250
601,15,1,1500
602,50,1,5000
603,56,2,2800
604,27,2,1350
605,10,1,1000
606,21,1,2100
607,7,3,233.33
608,9,1,900
609,4,1,400
610,1849,3066,60.31
611,1039,2098,49.52
612,4100,9556,42.9
613,772,1246,61.96
614,3627,6136,59.11
615,9488,10732,88.41
616,7687,5483,140.2
617,4211,6966,60.45
618,15376,15888,96.78
619,1074,2648,40.56
620,993,2844,34.92
621,335,230,145.65
622,595,1081,55.04
623,2441,3328,73.35
624,463,457,101.31
625,2048,4002,51.17
626,152,31,490.32
627,2858,3227,88.57
628,988,868,113.82
629,15399,16083,95.75
630,252,202,124.75
631,4352,12425,35.03
632,98,41,239.02
633,93,97,95.88
634,6451,8431,76.52
635,73,19,384.21
636,110,11,1000
637,92,180,51.11
638,2,1,200
639,9805,5341,183.58
640,490,253,193.68
641,2962,5845,50.68
642,255,235,108.51
643,129,23,560.87
644,8674,10453,82.98
645,326,182,179.12
646,111,81,137.04
647,154,10,1540
648,5226,11394,45.87
649,6631,8995,73.72
650,274,386,70.98
651,192,122,157.38
652,5728,9748,58.76
653,5872,4124,142.39
654,15671,4674,335.28
655,303,76,398.68
656,363,349,104.01
657,53,8,662.5
658,86,15,573.33
659,27,9,300
660,36,8,450
661,11,4,275
662,21,38,55.26
663,10,1,1000
664,3,1,300
665,2,1,200
666,138,228,60.53
667,7847,3669,213.87
668,630,308,204.55
669,268,308,87.01
670,1077,1693,63.61
671,7087,6543,108.31
672,888,1136,78.17
673,1668,1706,97.77
674,1516,1920,78.96
675,18881,22761,82.95
676,9361,13083,71.55
677,3118,3644,85.57
678,3578,5610,63.78
679,1909,2204,86.62
680,2098,2510,83.59
681,559,1897,29.47
682,237,486,48.77
683,4389,6129,71.61
684,3126,6204,50.39
685,572,718,79.67
686,1512,1603,94.32
687,3463,8107,42.72
688,1533,1204,127.33
689,1042,3721,28
690,2511,5188,48.4
691,577,2104,27.42
692,880,932,94.42
693,3236,2953,109.58
694,2498,2750,90.84
695,724,1357,53.35
696,2073,2080,99.66
697,964,1220,79.02
698,111,172,64.53
699,2192,2567,85.39
700,340,381,89.24
701,44,42,104.76
702,28,2,1400
703,73,3,2433.33
704,4,7,57.14
705,40,29,137.93
706,66,36,183.33
707,56,14,400
708,23,1,2300
709,6,20,30
710,7,15,46.67
711,5,6,83.33
712,2152,3428,62.78
713,1938,1809,107.13
714,998,1441,69.26
715,3990,7822,51.01
716,5117,4789,106.85
717,9983,13009,76.74
718,1022,1460,70
719,7812,9168,85.21
720,12081,16955,71.25
721,7621,12565,60.65
722,2852,3884,73.43
723,1700,4640,36.64
724,15815,12528,126.24
725,8023,11683,68.67
726,648,874,74.14
727,944,1320,71.52
728,634,505,125.54
729,10294,15343,67.09
730,6299,6102,103.23
731,1945,3837,50.69
732,3432,5616,61.11
733,2275,4602,49.44
734,71,11,645.45
735,1203,2931,41.04
736,52,44,118.18
737,2007,2607,76.99
738,226,218,103.67
739,4885,7214,67.72
740,5391,7466,72.21
741,82,1,8200
742,306,235,130.21
743,251,113,222.12
744,6036,4519,133.57
745,12034,11946,100.74
746,5267,5341,98.61
747,22545,4836,466.19
748,2285,5572,41.01
749,91,50,182
750,6375,7592,83.97
751,691,510,135.49
752,6344,12367,51.3
753,267,71,376.06
754,11604,18239,63.62
755,137,13,1053.85
756,825,783,105.36
757,159,5,3180
758,41,28,146.43
759,47,16,293.75
760,19,11,172.73
761,27,4,675
762,118,14,842.86
763,17,9,188.89
764,11,1,1100
765,3,1,300
766,0,1,0
767,4,1,400
768,6,30,20
769,5,15,33.33
770,5,1,500
771,1,1,100
772,1,1,100
773,4848,6259,77.46
774,16290,15725,103.59
775,4779,9444,50.6
776,7270,9592,75.79
777,4270,8457,50.49
778,2555,13644,18.73
779,5413,7154,75.66
780,479,274,174.82
781,3272,5268,62.11
782,924,1114,82.94
783,285,666,42.79
784,2674,5340,50.07
785,377,241,156.43
786,278,497,55.94
787,808,814,99.26
788,113,33,342.42
789,1153,2040,56.52
790,583,1133,51.46
791,482,1225,39.35
792,248,279,88.89
793,40,23,173.91
794,453,582,77.84
795,144,52,276.92
796,1533,2519,60.86
797,367,144,254.86
798,2056,3825,53.75
799,628,1933,32.49
800,3255,6775,48.04
801,10005,11468,87.24
802,587,682,86.07
803,3213,5618,57.19
804,151,39,387.18
805,5062,2756,183.67
806,432,322,134.16
807,48,1,4800
808,45,9,500
809,34,26,130.77
810,97,16,606.25
811,13,3,433.33
812,23,5,460
901,83,18,461.11
902,15,3,500
903,6,4,150
904,336,43,781.4
905,10,6,166.67
906,26,14,185.71
907,76,28,271.43
908,45,54,83.33
909,21,1,2100
910,0,1,0
911,19085,5366,355.67
912,601,1106,54.34
913,12518,12960,96.59
914,565,487,116.02
915,809,2112,38.3
916,8925,13055,68.36
917,6067,10402,58.33
918,828,2118,39.09
919,10014,5966,167.85
920,11569,12702,91.08
921,3488,5436,64.16
922,405,479,84.55
923,5669,5358,105.8
924,1895,1489,127.27
925,800,1196,66.89
926,210,569,36.91
927,4330,8639,50.12
928,103,20,515
929,5956,8345,71.37
930,862,906,95.14
931,1193,1745,68.37
932,170,95,178.95
933,9579,13600,70.43
934,1988,4787,41.53
935,37,9,411.11
936,354,78,453.85
937,5225,2374,220.09
938,604,714,84.59
939,124,44,281.82
940,1757,8418,20.87
941,2487,5637,44.12
942,3948,4808,82.11
943,3316,4484,73.95
944,11372,8005,142.06
945,7410,9288,79.78
946,677,1593,42.5
947,222,195,113.85
948,310,433,71.59
949,331,135,245.19
950,10076,9021,111.69
951,4232,5467,77.41
952,6439,11109,57.96
953,764,986,77.48
954,866,764,113.35
955,4116,7205,57.13
956,2347,3062,76.65
957,68,7,971.43
958,85,10,850
959,65,16,406.25
960,35,8,437.5
961,16,3,533.33
962,4,5,80
963,5,6,83.33
964,5,1,500
965,15,4,375
966,0,1,0
967,3,2,150
968,804,1167,68.89
969,6045,13515,44.73
970,3267,8422,38.79
971,6688,9285,72.03
972,8511,9416,90.39
973,8680,10371,83.69
974,32185,8294,388.05
975,798,1584,50.38
976,12334,12941,95.31
977,8437,12214,69.08
978,822,956,85.98
979,7674,12907,59.46
980,8180,10720,76.31
981,4436,4908,90.38
982,737,974,75.67
983,150,66,227.27
984,1519,1847,82.24
985,966,1931,50.03
986,1063,691,153.84
987,85,25,340
988,1620,2718,59.6
989,69,10,690
990,6676,10296,64.84
991,308,75,410.67
992,150,106,141.51
993,30,9,333.33
994,5388,6677,80.69
995,4937,5659,87.24
996,7799,8226,94.81
997,292,311,93.89
998,5734,7958,72.05
999,199,15,1326.67
1000,2465,1681,146.64
1001,215,41,524.39
1002,5293,5627,94.06
1003,112,19,589.47
1004,57,5,1140
1005,36,14,257.14
1006,16,4,400
1007,46,17,270.59
1008,14,6,233.33
1009,44,11,400
1010,84,9,933.33
1011,50,19,263.16
1012,81,1,8100
1013,9,7,128.57
1014,1,4,25
1015,11,1,1100
1016,1,1,100
1017,5,1,500
1018,2149,2287,93.97
1019,778,1231,63.2
1020,6259,6934,90.27
1021,2050,1763,116.28
1022,6169,9653,63.91
1023,3354,7123,47.09
1024,4464,7062,63.21
1025,7002,8300,84.36
1026,253,298,84.9
1027,13037,5732,227.44
1028,488,582,83.85
1029,1519,5554,27.35
1030,535,681,78.56
1031,290,224,129.46
1032,832,608,136.84
1033,104,175,59.43
1034,2474,3281,75.4
1035,10467,13728,76.25
1036,6091,4429,137.53
1037,1222,1581,77.29
1038,1491,8152,18.29
1039,822,659,124.73
1040,3,27,11.11
1041,84,19,442.11
1042,159,11,1445.45
1043,204,53,384.91
1044,45,33,136.36
1045,43,1,4300
1046,2397,4362,54.95
1047,245,316,77.53
1048,776,508,152.76
1049,394,406,97.04
1050,183,21,871.43
1051,9659,10551,91.55
1052,82,26,315.38
1053,1031,1428,72.2
1054,73,208,35.1
1055,118,20,590
1056,37,3,1233.33
1057,18,4,450
1058,14,7,200
1059,112,13,861.54
1060,137,34,402.94
1061,28,5,560
1062,32,6,533.33
1063,14,7,200
1064,9,8,112.5
1065,3,2,150
1066,0,1,0
1067,3125,4006,78.01
1068,1363,2036,66.94
1069,4053,5580,72.63
1070,1936,3804,50.89
1071,2938,2323,126.47
1072,5117,8266,61.9
1073,3653,4791,76.25
1074,280,443,63.21
1075,4533,6781,66.85
1076,3142,6100,51.51
1077,1268,1731,73.25
1078,5731,6590,86.97
1079,2530,2730,92.67
1080,6595,6941,95.02
1081,5422,8496,63.82
1082,341,520,65.58
1083,3647,4205,86.73
1084,251,359,69.92
1085,534,238,224.37
1086,210,65,323.08
1087,161,24,670.83
1088,191,148,129.05
1089,117,78,150
1090,922,3019,30.54
1091,3374,8338,40.47
1092,533,548,97.26
1093,90,32,281.25
1094,4558,7155,63.7
1095,7,1,700
1096,192,63,304.76
1097,188,92,204.35
1098,49,47,104.26
1099,42,6,700
1100,11,6,183.33
1101,66,10,660
1102,33,3,1100
1103,8,1,800
1104,7,8,87.5
1105,6,43,13.95
1106,16,3,533.33
1107,2,11,18.18
1108,4,1,400
1201,28,20,140
1202,85,44,193.18
1203,10,1,1000
1204,12,3,400
1205,4,1,400
1207,7,13,53.85
1208,9097,14512,62.69
1209,385,344,111.92
1210,546,542,100.74
1211,1658,5393,30.74
1212,9899,10243,96.64
1213,628,198,317.17
1214,7316,10637,68.78
1215,1385,2438,56.81
1216,120,30,400
1217,1259,2384,52.81
1218,135,422,31.99
1219,2329,2846,81.83
1220,2994,5617,53.3
1221,187,141,132.62
1222,8637,11106,77.77
1223,702,1338,52.47
1224,151,97,155.67
1225,1929,3368,57.27
1226,3986,5940,67.1
1227,909,1131,80.37
1228,14713,11272,130.53
1229,1489,1786,83.37
1230,20620,15181,135.83
1231,303,45,673.33
1232,140,57,245.61
1233,697,395,176.46
1234,119,78,152.56
1235,73,11,663.64
1236,941,1825,51.56
1237,492,232,212.07
1238,71,10,710
1239,7291,8877,82.13
1240,715,504,141.87
1241,2261,3381,66.87
1242,82,13,630.77
1243,358,381,93.96
1244,304,212,143.4
1245,88,34,258.82
1246,5323,7189,74.04
1247,76,13,584.62
1248,760,1683,45.16
1249,368,318,115.72
1250,5088,5993,84.9
1251,32,31,103.23
1252,25,23,108.7
1253,56,5,1120
1254,9,1,900
1255,16,1,1600
1256,68,14,485.71
1257,34,5,680
1258,42,5,840
1259,14,1,1400
1260,12,35,34.29
1261,3,4,75
1262,1,2,50
1263,66,119,55.46
